qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

q,F(Q)
1.0,-0.4698953
1.05,-0.5819457
1.1,-0.6592089
1.15,-0.68128186
1.2,-0.66833246
1.25,-0.6570049
1.3,-0.67271847
1.35,-0.7167811
1.4,-0.77205604
1.4499999,-0.8185441
1.5,-0.8468497
1.55,-0.86191344
1.6,-0.87698835
1.65,-0.90354985
1.6999999,-0.9438548
1.75,-0.99011266
1.8,-1.0296046
1.8499999,-1.0517949
1.9,-1.0531285
1.9499999,-1.0374058
2.0,-1.0124519
2.05,-0.9851078
2.1,-0.95630825
2.1499999,-0.9170422
2.2,-0.8462111
2.2499998,-0.7126137
2.3,-0.48379987
2.3500001,-0.14195833
2.4,0.2979384
2.45,0.7774226
2.5,1.2008362
2.55,1.4613324
2.6,1.478344
2.6499999,1.2298279
2.6999998,0.7630635
2.7500002,0.17809099
2.8,-0.4079295
2.85,-0.897972
2.8999999,-1.23822
2.9499998,-1.421757
3.0,-1.4787238
3.05,-1.462078
3.1,-1.4325789
3.15,-1.4391764
3.2,-1.4915993
3.2499998,-1.5321248
3.3,-1.4269435
3.35,-0.99843675
3.4,-0.101875305
3.45,1.2802252
3.5,2.9761267
3.5500002,4.6405244
3.6000001,5.8580604
3.65,6.296033
3.7,5.8352203
3.7500002,4.6142507
3.8,2.9665043
3.85,1.2841706
3.8999999,-0.12127449
3.95,-1.0984287
4.0,-1.6513885
4.05,-1.8741417
4.1,-1.8730527
4.15,-1.7201883
4.2,-1.4512569
4.25,-1.0921296
4.2999997,-0.6860766
4.35,-0.301449
4.3999996,-0.017789878
4.45,0.0979871
4.4999995,0.011399924
4.5499997,-0.2712346
4.6,-0.7053003
4.65,-1.2172487
4.7,-1.7174073
4.75,-2.115057
4.7999997,-2.3344197
4.85,-2.329339
4.9,-2.093526
4.95,-1.6641426
5.0,-1.118515
5.05,-0.56411934
5.1,-0.121341415
5.15,0.10149598
5.2,0.038424965
5.25,-0.30617082
5.3,-0.8438382
5.35,-1.4132066
5.4,-1.81853
5.4500003,-1.8857039
5.5000005,-1.5178502
5.55,-0.7307821
5.6,0.3429529
5.65,1.4821947
5.7000003,2.4291809
5.75,2.953834
5.8,2.9178677
5.8500004,2.325748
5.9,1.3466812
5.9500003,0.29178706
6.0,-0.46139514
6.05,-0.58586615
6.1000004,0.07139085
6.15,1.4093261
6.2,3.078826
6.25,4.5860662
6.2999997,5.46003
6.35,5.4183884
6.3999996,4.4612164
6.45,2.8542714
6.4999995,1.0136386
6.5499997,-0.6532005
6.6,-1.879836
6.65,-2.5974653
6.7,-2.9064782
6.75,-2.9915793
6.7999997,-3.0260556
6.85,-3.1040108
6.9,-3.218456
6.95,-3.2827144
7.0,-3.180198
7.05,-2.8238082
7.1,-2.205875
7.15,-1.4201792
7.2,-0.64306086
7.25,-0.07315289
7.3,0.15124848
7.35,0.021663604
7.4,-0.32196945
7.4500003,-0.6418815
7.5000005,-0.7066807
7.55,-0.40263462
7.6,0.2050217
7.65,0.8964035
7.7000003,1.4008515
7.75,1.5314978
7.8,1.2826626
7.8500004,0.83816797
7.9,0.48302352
7.9500003,0.46086892
8.0,0.8489832
8.05,1.5149119
8.1,2.177943
8.150001,2.5440593
8.2,2.4455533
8.25,1.91447
8.3,1.1549224
8.349999,0.43375942
8.4,-0.049888726
8.45,-0.24699914
8.5,-0.25565293
8.55,-0.24399327
8.6,-0.35017878
8.650001,-0.6166261
8.7,-0.9885418
8.75,-1.3652347
8.8,-1.6630788
8.849999,-1.8496528
8.900001,-1.9351237
8.950001,-1.9388937
8.999999,-1.8642042
9.05,-1.7017797
9.1,-1.4562262
9.150001,-1.1670803
9.2,-0.89745706
9.25,-0.6887251
9.3,-0.5086776
9.35,-0.2355451
9.4,0.29664403
9.45,1.2030029
9.5,2.4505916
9.549999,3.8179104
9.599999,4.9450645
9.65,5.461631
9.7,5.136362
9.75,3.9776797
9.8,2.2369878
9.85,0.31402457
9.900001,-1.3901685
9.95,-2.6060486
10.0,-3.260201
10.05,-3.4538598
10.1,-3.3786094
10.150001,-3.2153053
10.2,-3.0620902
10.25,-2.9165072
10.3,-2.7085352
10.349999,-2.3600008
10.4,-1.8380946
10.45,-1.1787772
10.5,-0.471891
10.55,0.1804611
10.6,0.7097314
10.650001,1.1066556
10.7,1.4143518
10.75,1.6930146
10.8,1.9756869
10.849999,2.239566
10.900001,2.408964
10.950001,2.389754
11.000001,2.1180096
11.05,1.598559
11.1,0.9141701
11.150001,0.20122246
11.2,-0.39675462
11.25,-0.7758205
11.3,-0.89955395
11.35,-0.7988253
