qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
0.0,0.0
0.01,-0.001527964
0.02,-0.00338943
0.03,-0.005887912
0.04,-0.009269759
0.05,-0.013701639
0.06,-0.01925605
0.07,-0.025904367
0.08,-0.033519655
0.09,-0.04188837
0.1,-0.05072808
0.11,-0.059714653
0.12,-0.06851087
0.13,-0.076795526
0.14,-0.0842945
0.14999999,-0.09080293
0.16,-0.09620589
0.17,-0.100487284
0.18,-0.10373213
0.19,-0.106118925
0.2,-0.10790284
0.21,-0.10939398
0.22,-0.11092884
0.22999999,-0.1128402
0.24,-0.1154272
0.25,-0.118928745
0.26,-0.12350135
0.26999998,-0.12920555
0.28,-0.13599971
0.29,-0.1437447
0.29999998,-0.15221538
0.31,-0.16112098
0.32,-0.17013137
0.32999995,-0.17890668
0.34,-0.18712771
0.35,-0.19452478
0.36,-0.20090199
0.37,-0.20615456
0.38,-0.21027884
0.39,-0.21337327
0.4,-0.21562865
0.41,-0.21731101
0.42000005,-0.21873903
0.43,-0.22025433
0.44,-0.22219194
0.45000002,-0.22484833
0.46,-0.2284566
0.47,-0.23316404
0.48,-0.23902012
0.48999998,-0.24597037
0.5,-0.25386205
0.51,-0.26245725
0.52,-0.27145538
0.53,-0.28051728
0.53999996,-0.28929874
0.55,-0.2974791
0.56,-0.30479267
0.57,-0.3110496
0.58,-0.31615546
0.59,-0.32011843
0.6,-0.3230506
0.61,-0.32515633
0.62,-0.32671475
0.63,-0.32805413
0.64,-0.3295252
0.65,-0.33146644
0.6599999,-0.33417457
0.66999996,-0.33787814
0.68,-0.34271714
0.69,-0.34873047
0.7,-0.35584995
0.71,-0.36390886
0.72,-0.37265572
0.73,-0.38177532
0.74,-0.3909191
0.75,-0.39973494
0.76000005,-0.4078989
0.77000004,-0.4151453
0.78,-0.42128927
0.79,-0.4262456
0.8,-0.4300334
0.81,-0.43277928
0.82,-0.43470138
0.83,-0.4360944
0.8400001,-0.43730062
0.85,-0.43867886
0.86,-0.44057533
0.87,-0.44328997
0.88,-0.44704887
0.89,-0.45198658
0.9,-0.45813125
0.9099999,-0.46540177
0.92,-0.47361597
0.93,-0.48250586
0.94,-0.49174088
0.95,-0.5009594
0.96,-0.5097969
0.97,-0.5179233
0.97999996,-0.52506953
0.98999995,-0.53105277
1.0,-0.5357934
1.01,-0.53932166
1.02,-0.5417764
1.03,-0.5433917
1.04,-0.54447675
1.05,-0.54538804
1.06,-0.5464979
1.0699999,-0.5481612
1.0799999,-0.55068207
1.0899999,-0.5542872
1.0999999,-0.55910546
1.11,-0.56515604
1.12,-0.5723427
1.13,-0.58046746
1.14,-0.58924204
1.15,-0.5983189
1.16,-0.6073152
1.17,-0.6158524
1.18,-0.6235866
1.19,-0.6302416
1.2,-0.6356304
1.21,-0.6396757
1.22,-0.64241606
1.23,-0.64399827
1.24,-0.6446713
1.25,-0.64476
1.26,-0.6446377
1.2700001,-0.6446889
1.28,-0.64528424
1.29,-0.6467334
1.3,-0.64927
1.31,-0.6530213
1.3199998,-0.65800154
1.3299999,-0.66410625
1.3399999,-0.67112315
1.35,-0.6787491
1.36,-0.6866185
1.37,-0.69433504
1.38,-0.70150477
1.39,-0.7077714
1.4,-0.7128526
1.41,-0.71656144
1.42,-0.71882445
1.4300002,-0.71968716
1.44,-0.7193162
1.45,-0.71797943
1.46,-0.7160277
1.47,-0.7138586
1.48,-0.7118909
1.49,-0.7105197
1.5,-0.71008915
1.5100001,-0.71085715
1.52,-0.71297556
1.53,-0.7164805
1.54,-0.72128594
1.55,-0.72719365
1.56,-0.7339131
1.5699998,-0.7410848
1.5799999,-0.74831903
1.59,-0.755222
1.6,-0.7614428
1.61,-0.76669616
1.62,-0.7707947
1.63,-0.7736661
1.64,-0.7753575
1.65,-0.7760329
1.66,-0.77597046
1.6700001,-0.77552426
1.68,-0.7751067
1.69,-0.77514845
1.6999999,-0.77606666
1.7099999,-0.7782271
1.7199999,-0.7819143
1.7299999,-0.78730536
1.7399999,-0.79445606
1.75,-0.80329156
1.76,-0.8136046
1.77,-0.8250649
1.78,-0.83723533
1.79,-0.8495899
1.8,-0.86153287
1.81,-0.8724181
1.8199998,-0.8815667
1.83,-0.88828015
1.84,-0.8918441
1.85,-0.8915334
1.86,-0.88660634
1.87,-0.8762996
1.88,-0.8598288
1.89,-0.8363763
1.9,-0.80510336
1.9100001,-0.76516235
1.92,-0.715722
1.93,-0.6560038
1.94,-0.58533996
1.9499999,-0.5032326
1.9599999,-0.40943107
1.9699999,-0.3040081
1.9799999,-0.18743928
1.99,-0.060672965
2.0,0.07481177
2.01,0.21697393
2.02,0.36320528
2.03,0.5103584
2.04,0.65481275
2.05,0.79258126
2.06,0.9194563
2.07,1.0311838
2.08,1.1236753
2.09,1.1932236
2.1,1.2367423
2.11,1.2519827
2.12,1.237743
2.1299999,1.1940359
2.1399999,1.122211
2.1499999,1.0250157
2.16,0.9066022
2.17,0.7724471
2.18,0.6291991
2.19,0.4844676
2.2,0.3465362
2.21,0.22403146
2.22,0.1255485
2.23,0.059252538
2.24,0.032493375
2.2499998,0.051420625
2.26,0.120648414
2.27,0.24297047
2.28,0.41915056
2.29,0.64780354
2.3,0.9253564
2.31,1.246119
2.32,1.602448
2.33,1.9850014
2.34,2.3830655
2.35,2.7849607
2.36,3.1784894
2.37,3.5513976
2.38,3.8918614
2.3899999,4.188944
2.4,4.433023
2.41,4.6161366
2.42,4.732308
2.43,4.777729
2.44,4.750883
2.45,4.65256
2.46,4.4857783
2.47,4.25562
2.48,3.9689791
2.49,3.634249
2.5,3.2609558
2.51,2.8593593
2.52,2.4400423
2.53,2.0134974
2.54,1.5897467
2.55,1.177988
2.56,0.7863077
2.57,0.4214444
2.58,0.08862666
2.59,-0.20850399
2.6,-0.46791327
2.61,-0.6891089
2.62,-0.87302285
2.6299999,-1.0218198
2.64,-1.1386923
2.65,-1.2275902
2.66,-1.2929649
2.67,-1.3394996
2.68,-1.3718475
2.69,-1.3944019
2.7,-1.4110973
2.71,-1.4252572
2.72,-1.43949
2.73,-1.4556354
2.74,-1.474758
2.7500002,-1.497201
2.76,-1.5226628
2.77,-1.5503277
2.78,-1.5790082
2.79,-1.6073016
2.8,-1.6337492
2.81,-1.6569961
2.82,-1.6759202
2.83,-1.68973
2.84,-1.6980475
2.85,-1.7009361
2.86,-1.6988951
2.87,-1.6928246
2.88,-1.6839385
2.89,-1.6736721
2.9,-1.6635536
2.91,-1.6550814
2.92,-1.6495976
2.93,-1.6481724
2.94,-1.6515044
2.95,-1.6598698
2.96,-1.6730818
2.97,-1.6905081
2.98,-1.7111112
2.99,-1.7335383
3.0,-1.7562236
3.01,-1.7775198
3.02,-1.7958463
3.03,-1.8098192
3.04,-1.8183777
3.05,-1.8208927
3.06,-1.8172195
3.07,-1.8077248
3.08,-1.7932626
3.09,-1.7750931
3.1,-1.7547657
3.11,-1.7339501
3.12,-1.7142488
3.1299999,-1.6969856
3.1399996,-1.6829816
3.1499999,-1.6723732
3.1599998,-1.6644266
3.1699998,-1.6574239
3.1799998,-1.6485908
3.1899998,-1.6341138
3.2,-1.6092175
3.21,-1.568321
3.22,-1.50528
3.23,-1.4136772
3.24,-1.2871801
3.2499998,-1.1199274
3.26,-0.9069201
3.27,-0.6444154
3.28,-0.33027703
3.29,0.035719395
3.3,0.45167857
3.31,0.91344535
3.32,1.4146017
3.33,1.946542
3.34,2.498695
3.35,3.0588362
3.36,3.6134987
3.37,4.1484613
3.38,4.6493006
3.3899999,5.101957
3.3999999,5.4933105
3.4099998,5.811741
3.4199998,6.04761
3.4299998,6.1936703
3.44,6.245389
3.45,6.201124
3.46,6.0622272
3.47,5.832942
3.48,5.5202403
3.49,5.1335135
3.5,4.684165
3.51,4.185134
3.52,3.6503565
3.53,3.0941951
3.54,2.530874
3.55,1.9739481
3.56,1.4357989
