qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

q,I(Q)
1.0,46321.47
1.05,22350.11
1.1,9735.031
1.15,11551.906
1.2,21032.19
1.25,29184.906
1.3,31037.203
1.35,27235.688
1.4,21722.672
1.4499999,18239.25
1.5,18087.547
1.55,20043.875
1.6,21818.062
1.65,21761.703
1.6999999,19790.14
1.75,17181.86
1.8,15645.234
1.8499999,16346.406
1.9,19438.719
1.9499999,24207.688
2.0,29598.977
2.05,34813.58
2.1,39761.594
2.1499999,45327.797
2.2,53390.508
2.2499998,66454.11
2.3,86753.94
2.3500001,114958.305
2.4,148969.12
2.45,183568.03
2.5,211448.02
2.55,225493.69
2.6,221424.39
2.6499999,199551.8
2.6999998,164750.56
2.7500002,124659.92
2.8,87019.79
2.85,57400.008
2.8999999,38175.258
2.9499998,28791.21
3.0,26738.68
3.05,28602.836
3.1,30975.914
3.15,31432.312
3.2,29688.531
3.2499998,28574.102
3.3,33934.168
3.35,52766.656
3.4,89823.75
3.45,144106.62
3.5,207280.61
3.5500002,265370.75
3.6000001,303458.12
3.65,311354.1
3.7,287528.16
3.7500002,239400.1
3.8,179994.2
3.85,122782.3
3.8999999,77251.26
3.95,47020.164
4.0,30748.068
4.05,24659.164
4.1,25013.195
4.15,29363.105
4.2,36449.844
4.25,45386.723
4.2999997,54949.96
4.35,63449.016
4.3999996,69118.3
4.45,70671.79
4.4999995,67681.82
4.5499997,60647.75
4.6,50822.945
4.65,39922.727
4.7,29805.102
4.75,22154.988
4.7999997,18200.117
4.85,18496.031
4.9,22826.875
4.95,30240.625
5.0,39200.01
5.05,47825.4
5.1,54219.586
5.15,56865.54
5.2,55044.16
5.25,49152.637
5.3,40764.934
5.35,32327.969
5.4,26521.496
5.4500003,25474.424
5.5000005,30099.611
5.55,39784.09
5.6,52519.36
5.65,65410.633
5.7000003,75402.47
5.75,80047.375
5.8,78164.38
5.8500004,70257.625
5.9,58558.426
5.9500003,46584.426
6.0,38212.906
6.05,36462.055
6.1000004,42374.016
6.15,54467.457
6.2,69074.664
6.25,81530.83
6.2999997,87785.33
6.35,85789.12
6.3999996,76083.2
6.45,61382.402
6.4999995,45400.6
6.5499997,31470.93
6.6,21545.871
6.65,15904.441
6.7,13535.639
6.75,12891.996
6.7999997,12631.615
6.85,12074.205
6.9,11286.381
6.95,10862.953
7.0,11546.504
7.05,13829.084
7.1,17661.264
7.15,22369.488
7.2,26832.705
7.25,29885.33
7.3,30804.469
7.35,29664.773
7.4,27366.754
7.4500003,25279.8
7.5000005,24635.764
7.55,25952.684
7.6,28782.781
7.65,31925.186
7.7000003,34013.875
7.75,34192.777
7.8,32538.574
7.8500004,30016.678
7.9,27992.34
7.9500003,27546.041
8.0,28939.059
8.05,31494.07
8.1,33941.594
8.150001,35043.117
8.2,34170.676
8.25,31556.152
8.3,28108.113
8.349999,24922.945
8.4,22761.516
8.45,21761.188
8.5,21497.533
8.55,21314.307
8.6,20706.14
8.650001,19542.137
8.7,18041.834
8.75,16569.977
8.8,15410.6
8.849999,14658.273
8.900001,14260.992
8.950001,14139.682
8.999999,14271.48
9.05,14674.295
9.1,15321.588
9.150001,16081.514
9.2,16758.688
9.25,17233.695
9.3,17609.453
9.35,18241.348
9.4,19590.352
9.45,21948.67
9.5,25182.525
9.549999,28651.195
9.599999,31376.795
9.65,32406.764
9.7,31204.645
9.75,27881.848
9.8,23163.562
9.85,18110.092
9.900001,13729.968
9.95,10657.609
10.0,9020.641
10.05,8523.127
10.1,8670.891
10.150001,9019.171
10.2,9335.115
10.25,9625.436
10.3,10047.869
10.349999,10770.512
10.4,11854.106
10.45,13207.936
10.5,14630.475
10.55,15903.786
10.6,16890.074
10.650001,17580.09
10.7,18071.76
10.75,18492.93
10.8,18911.719
10.849999,19283.27
10.900001,19461.89
10.950001,19272.908
11.000001,18606.871
11.05,17488.584
11.1,16086.924
11.150001,14662.278
11.2,13476.963
11.25,12710.766
11.3,12415.427
11.35,12521.717
11.4,12887.215
11.45,13356.799
11.5,13808.609
11.549999,14170.729
11.599999,14413.337
11.65,14530.603
11.7,14528.87
11.75,14425.196
11.8,14249.846
11.85,14041.395
11.900001,13830.298
11.95,13617.0205
12.0,13360.634
12.05,12989.494
12.1,12434.053
12.150001,11667.786
12.2,10736.139
12.25,9758.522
12.3,8901.102
12.349999,8330.223
12.4,8162.0986
12.45,8424.211
12.5,9038.844
12.55,9836.405
12.6,10600.175
12.650001,11135.592
12.7,11344.654
12.75,11275.98
12.8,11121.82
12.849999,11151.541
12.900001,11600.071
12.950001,12556.569
12.999999,13905.102
13.05,15349.18
13.1,16512.941
13.150001,17075.473
13.2,16879.465
13.25,15970.306
13.3,14557.989
13.35,12929.445
13.4,11356.048
13.45,10033.241
13.5,9064.997
13.549999,8481.399
13.599999,8267.17
13.65,8383.466
13.7,8776.627
13.75,9379.8545
13.8,10113.916
13.85,10891.019
13.900001,11620.131
13.95,12211.901
14.0,12583.565
14.05,12667.06
14.1,12422.523
14.150001,11854.348
14.2,11022.625
14.25,10041.233
14.3,9058.324
14.349999,8222.83
14.4,7647.4326
14.45,7381.4893
14.5,7403.481
14.55,7636.704
14.6,7981.326
14.650001,8351.118
14.7,8699.563
14.75,9025.475
14.8,9355.767
14.849999,9714.6045
14.900001,10094.707
14.950001,10446.795
15.000001,10694.564
15.05,10768.988
15.1,10644.636
15.150001,10357.602
15.2,9993.711
15.25,9651.303
15.3,9397.068
15.35,9238.864
15.4,9130.385
15.45,9006.2
15.5,8828.135
15.549999,8617.175
15.599999,8451.659
15.65,8430.269
15.7,8616.824
15.75,8995.206
15.8,9458.68
15.85,9842.541
15.900001,9987.354
15.95,9805.249
16.0,9319.08
16.05,8656.508
16.1,8001.668
16.15,7526.5005
16.2,7331.8066
16.25,7422.4326
16.300001,7722.6494
16.35,8119.491
16.400002,8509.978
16.45,8830.045
16.5,9056.554
16.550001,9188.983
16.6,9227.303
16.65,9161.87
16.7,8980.377
16.75,8685.159
16.800001,8307.097
16.85,7905.2905
16.9,7550.387
16.95,7300.2754
17.0,7180.8594
17.05,7181.7583
17.1,7267.494
17.15,7396.4346
17.2,7536.0977
17.25,7667.1387
17.3,7776.51
17.35,7846.9727
17.4,7852.428
17.449999,7764.1724
17.5,7565.4316
17.55,7265.5195
17.6,6904.0347
17.65,6541.372
17.699999,6239.116
17.75,6040.633
17.8,5961.6255
17.849998,5994.107
17.9,6119.5415
17.949999,6321.0977
17.999998,6586.668
18.05,6901.1416
18.099998,7234.875
18.150002,7538.8335
18.2,7753.332
18.25,7828.3374
18.300001,7745.1294
18.35,7526.6416
18.400002,7230.2363
18.45,6926.583
18.5,6676.0083
18.550001,6514.299
18.6,6452.3027
18.65,6484.582
18.7,6597.4897
18.75,6769.901
18.800001,6968.1577
18.85,7143.4023
18.9,7239.5664
18.95,7212.4365
19.0,7050.9434
19.05,6787.3203
19.1,6487.615
19.15,6225.2217
19.2,6050.4487
19.25,5972.2656
19.3,5960.897
19.35,5968.485
19.4,5955.046
19.449999,5905.5195
19.5,5830.6377
19.55,5754.062
19.6,5695.3926
19.65,5658.99
19.699999,5633.4897
19.75,5600.33
19.8,5545.39
19.849998,5467.8037
19.9,5382.348
19.949999,5315.196
20.0,5294.686
20.05,5340.1084
20.099998,5451.98
20.15,5607.67
20.2,5764.917
20.25,5873.639
20.300001,5892.466
20.35,5803.8623
20.400002,5621.5054
20.45,5386.613
20.5,5154.6304
20.550001,4978.0635
20.6,4891.8896
20.65,4906.0356
20.7,5005.9844
20.75,5159.095
20.800001,5323.8076
20.85,5459.2207
20.9,5533.7812
20.95,5532.077
21.0,5458.241
21.05,5334.545
21.1,5194.3594
21.15,5071.44
21.2,4989.032
21.25,4953.1846
21.3,4952.785
21.35,4965.8306
21.4,4968.825
21.449999,4944.9995
21.5,4888.509
21.55,4803.948
21.6,4702.657
21.65,4598.257
21.699999,4503.264
21.75,4427.619
21.8,4378.5513
21.849998,4360.9727
21.9,4377.3296
21.949999,4426.461
22.000002,4501.9185
22.05,4590.7407
22.099998,4674.1963
22.150002,4731.2686
22.2,4744.526
22.25,4706.285
22.300001,4622.2725
22.35,4510.5366
22.400002,4395.5557
22.45,4299.7217
22.5,4235.8125
22.550001,4203.528
22.6,4191.394
22.65,4182.485
22.7,4161.4834
22.75,4120.081
22.800001,4059.1267
22.85,3987.4368
22.9,3918.1067
22.95,3863.9512
23.0,3833.4192
23.05,3828.1924
23.1,3843.16
23.15,3868.5303
23.2,3893.3574
23.25,3908.8772
23.3,3910.5125
23.35,3897.963
23.4,3873.8835
23.449999,3842.2937
23.5,3807.5496
23.55,3774.1226
23.6,3746.5403
23.65,3728.76
23.699999,3722.7024
23.75,3726.6118
23.8,3734.3892
23.849998,3736.7898
23.9,3724.4985
23.949999,3691.9849
24.0,3640.4915
24.05,3578.6326
24.099998,3520.0693
24.15,3478.999
24.2,3465.013
24.25,3479.296
24.300001,3513.6575
24.35,3552.7568
24.400002,3578.878
24.45,3577.5747
24.5,3542.2222
24.550001,3476.008
24.6,3390.6565
24.65,3302.531
24.7,3227.4543
24.75,3176.1094
24.800001,3151.3616
24.85,3148.288
24.9,3156.503
24.95,3163.8994
25.0,3160.4934
25.05,3141.2732
25.1,3107.2998
25.15,3064.9668
25.2,3023.6467
25.25,2992.503
25.3,2977.4104
25.35,2979.0
25.4,2992.5222
25.449999,3009.6255
25.5,3021.4333
25.55,3021.7205
25.6,3008.9094
25.65,2986.085
25.699999,2959.1267
25.75,2933.83
25.8,2913.4338
25.849998,2897.5479
25.9,2882.909
25.949999,2865.431
25.999998,2842.4243
26.05,2814.0264
26.099998,2783.1357
26.150002,2754.1345
26.2,2730.995
26.25,2715.7275
26.300001,2707.7285
26.35,2704.199
26.400002,2701.2563
26.45,2695.2295
26.5,2683.6445
26.550001,2665.7166
26.6,2642.3586
26.65,2615.9082
26.7,2589.5972
26.75,2566.832
26.800001,2550.2747
26.85,2540.8582
26.9,2537.1162
26.95,2535.2725
27.0,2530.2769
27.05,2517.635
27.1,2495.2703
27.15,2464.6467
27.2,2430.4219
27.25,2398.7761
27.3,2374.9966
27.35,2361.4595
27.4,2356.9214
27.449999,2357.3325
27.5,2357.7405
27.55,2354.3525
27.6,2345.747
27.65,2332.879
27.699999,2318.033
27.75,2303.3882
27.8,2289.9417
27.849998,2277.216
27.9,2263.759
27.949999,2248.0413
28.0,2229.3425
28.05,2208.1807
28.099998,2186.247
28.15,2165.861
28.2,2149.1934
28.25,2137.4983
28.300001,2130.59
28.35,2126.7717
28.400002,2123.2954
28.45,2117.2507
28.5,2106.6602
28.550001,2091.285
28.6,2072.8162
28.65,2054.2502
28.7,2038.6718
28.75,2027.9287
28.800001,2021.7936
28.85,2018.0331
28.9,2013.3463
28.95,2004.7812
29.0,1990.9918
29.05,1972.7479
29.1,1952.542
29.15,1933.4783
29.2,1917.9762
29.25,1906.8942
29.3,1899.3676
29.35,1893.3842
29.4,1886.7944
29.449999,1878.2161
29.5,1867.5249
29.55,1855.6892
29.6,1844.1694
29.65,1834.1293
29.699999,1825.8801
29.75,1818.7527
29.8,1811.4398
29.849998,1802.6132
29.9,1791.5399
29.95,1778.3918
