qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

q,S(Q)
1.0,-0.4698953
1.05,-0.554234
1.1,-0.5992808
1.15,-0.592419
1.2,-0.5569437
1.25,-0.5256039
1.3,-0.5174758
1.35,-0.53094894
1.4,-0.5514686
1.4499999,-0.5645132
1.5,-0.5645665
1.55,-0.5560733
1.6,-0.5481177
1.65,-0.547606
1.6999999,-0.55520874
1.75,-0.5657787
1.8,-0.5720026
1.8499999,-0.56853783
1.9,-0.55427814
1.9499999,-0.53200305
2.0,-0.50622594
2.05,-0.4805404
2.1,-0.4553849
2.1499999,-0.42653129
2.2,-0.38464138
2.2499998,-0.3167172
2.3,-0.21034777
2.3500001,-0.060407795
2.4,0.124141
2.45,0.31731534
2.5,0.48033446
2.55,0.57307154
2.6,0.56859386
2.6499999,0.464086
2.6999998,0.28261614
2.7500002,0.06476036
2.8,-0.14568911
2.85,-0.3150779
2.8999999,-0.42697245
2.9499998,-0.48195156
3.0,-0.49290794
3.05,-0.47936982
3.1,-0.46212223
3.15,-0.4568814
3.2,-0.46612477
3.2499998,-0.471423
3.3,-0.43240714
3.35,-0.29804084
3.4,-0.029963324
3.45,0.37107974
3.5,0.85032195
3.5500002,1.30719
3.6000001,1.6272389
3.65,1.7249404
3.7,1.5770866
3.7500002,1.2304668
3.8,0.78065914
3.85,0.3335508
3.8999999,-0.031096024
3.95,-0.2780832
4.0,-0.41284713
4.05,-0.462751
4.1,-0.45684212
4.15,-0.4145032
4.2,-0.34553736
4.25,-0.25697166
4.2999997,-0.15955271
4.35,-0.069298625
4.3999996,-0.004043154
4.45,0.022019576
4.4999995,0.002533316
4.5499997,-0.059612002
4.6,-0.15332615
4.65,-0.2617739
4.7,-0.36540583
4.75,-0.44527516
4.7999997,-0.48633745
4.85,-0.48027608
4.9,-0.42725018
4.95,-0.33619043
5.0,-0.22370303
5.05,-0.1117068
5.1,-0.023792434
5.15,0.019707957
5.2,0.007389416
5.25,-0.058318246
5.3,-0.15921475
5.35,-0.26415077
5.4,-0.3367648
5.4500003,-0.3460007
5.5000005,-0.27597275
5.55,-0.13167244
5.6,0.061241593
5.65,0.26233533
5.7000003,0.42617208
5.75,0.51371026
5.8,0.5030806
5.8500004,0.39756373
5.9,0.22825105
5.9500003,0.04903984
6.0,-0.07689919
6.05,-0.09683738
6.1000004,0.011703418
6.15,0.22915871
6.2,0.49658486
6.25,0.7337706
6.2999997,0.8666715
6.35,0.85328954
6.3999996,0.6970651
6.45,0.44252273
6.4999995,0.1559444
6.5499997,-0.09972527
6.6,-0.28482363
6.65,-0.39059627
6.7,-0.43380272
6.75,-0.44319692
6.7999997,-0.4450082
6.85,-0.4531403
6.9,-0.46644288
6.95,-0.472333
7.0,-0.454314
7.05,-0.4005401
7.1,-0.31068662
7.15,-0.19862647
7.2,-0.08931401
7.25,-0.010090055
7.3,0.02071897
7.35,0.002947429
7.4,-0.043509383
7.4500003,-0.08615859
7.5000005,-0.094224095
7.55,-0.053329088
7.6,0.026976539
7.65,0.117176935
7.7000003,0.18192875
7.75,0.19761263
7.8,0.16444393
7.8500004,0.106772974
7.9,0.061142217
7.9500003,0.057970934
8.0,0.1061229
8.05,0.18818781
8.1,0.26888183
8.150001,0.3121545
8.2,0.29823822
8.25,0.23205696
8.3,0.13914727
8.349999,0.05194724
8.4,-0.005939134
8.45,-0.02923067
8.5,-0.030076817
8.55,-0.028537223
8.6,-0.040718462
8.650001,-0.071286246
8.7,-0.11362548
8.75,-0.15602683
8.8,-0.18898623
8.849999,-0.2090003
8.900001,-0.21742962
8.950001,-0.21663615
8.999999,-0.20713378
9.05,-0.18804196
9.1,-0.16002485
9.150001,-0.12754977
9.2,-0.097549684
9.25,-0.074456766
9.3,-0.054696515
9.35,-0.025191989
9.4,0.031557877
9.45,0.1273019
9.5,0.257957
9.549999,0.39978123
9.599999,0.5151109
9.65,0.56597215
9.7,0.5295219
9.75,0.40796715
9.8,0.22826405
9.85,0.031880666
9.900001,-0.14042106
9.95,-0.26191443
10.0,-0.3260201
10.05,-0.34366763
10.1,-0.33451578
10.150001,-0.3167788
10.2,-0.30020493
10.25,-0.2845373
10.3,-0.26296458
10.349999,-0.22801943
10.4,-0.17673987
10.45,-0.11280165
10.5,-0.044942
10.55,0.017105317
10.6,0.06695579
10.650001,0.10391132
10.7,0.1321824
10.75,0.15748973
10.8,0.18293397
10.849999,0.20641162
10.900001,0.22100586
10.950001,0.21824236
11.000001,0.19254632
11.05,0.14466597
11.1,0.08235765
11.150001,0.018046858
11.2,-0.03542452
11.25,-0.06896182
11.3,-0.07960654
11.35,-0.07038108
11.4,-0.04807406
11.45,-0.020290582
11.5,0.00686503
11.549999,0.029697198
11.599999,0.04658754
11.65,0.057126272
11.7,0.06152947
11.75,0.060582153
11.8,0.055787176
11.85,0.049125835
11.900001,0.04218977
11.95,0.03500312
12.0,0.02535925
12.05,0.009336494
12.1,-0.01695828
12.150001,-0.055142615
12.2,-0.102903135
12.25,-0.15377161
12.3,-0.19853559
12.349999,-0.22777206
12.4,-0.23467958
12.45,-0.21734042
12.5,-0.17978875
12.55,-0.13140672
12.6,-0.08448855
12.650001,-0.050310116
12.7,-0.034769025
12.75,-0.035320062
12.8,-0.04092851
12.849999,-0.03577919
12.900001,-0.005773191
12.950001,0.054784477
12.999999,0.13941096
13.05,0.23061325
13.1,0.30573577
13.150001,0.34500688
13.2,0.33826476
13.25,0.28760263
13.3,0.20532978
13.35,0.10878421
13.4,0.014683553
13.45,-0.06467694
13.5,-0.12252196
13.549999,-0.15661989
13.599999,-0.16758533
13.65,-0.15755706
13.7,-0.1296685
13.75,-0.08797041
13.8,-0.037400164
13.85,0.01644871
13.900001,0.06765926
13.95,0.110308014
14.0,0.13879588
14.05,0.14839037
14.1,0.13615301
14.150001,0.102060646
14.2,0.04984989
14.25,-0.013028412
14.3,-0.07663784
14.349999,-0.13079883
14.4,-0.1676246
14.45,-0.18345173
14.5,-0.17946468
14.55,-0.16072415
14.6,-0.1340092
14.650001,-0.10527853
14.7,-0.07779246
14.75,-0.051657032
14.8,-0.02496984
14.849999,0.004009209
14.900001,0.034787983
14.950001,0.06381907
15.000001,0.08551818
15.05,0.094727725
15.1,0.089394026
15.150001,0.071971625
15.2,0.04865803
15.25,0.02670488
15.3,0.011133295
15.35,0.002630017
15.4,-0.002205599
15.45,-0.008297042
15.5,-0.018580029
15.549999,-0.031504206
15.599999,-0.04105932
15.65,-0.039540526
15.7,-0.021809159
15.75,0.011110234
15.8,0.05103985
15.85,0.08505106
15.900001,0.100380726
15.95,0.08973084
16.0,0.054548837
16.05,0.004772688
16.1,-0.044883363
16.15,-0.08040495
16.2,-0.09332256
16.25,-0.08289894
16.300001,-0.055047236
16.35,-0.018896384
16.400002,0.017073812
16.45,0.047480132
16.5,0.07028541
16.550001,0.08532899
16.6,0.09248995
16.65,0.09082288
16.7,0.07913395
16.75,0.057472687
16.800001,0.02837423
16.85,-0.00310754
16.9,-0.030801203
16.95,-0.049537014
17.0,-0.05687613
17.05,-0.053570528
17.1,-0.042635594
17.15,-0.027706468
17.2,-0.011664758
17.25,0.003744992
17.3,0.017318562
17.35,0.027441617
17.4,0.031645223
17.449999,0.027170477
17.5,0.012315517
17.55,-0.012207506
17.6,-0.042809747
17.65,-0.07385503
17.699999,-0.099475294
17.75,-0.115424804
17.8,-0.12003732
17.849998,-0.1139076
17.9,-0.09867088
17.949999,-0.075831845
17.999998,-0.04646252
18.05,-0.011956622
18.099998,0.024818078
18.150002,0.058993116
18.2,0.08452361
18.25,0.0962146
18.300001,0.09194098
18.35,0.07378923
18.400002,0.047427665
18.45,0.020020887
18.5,-0.002185735
18.550001,-0.015372765
18.6,-0.018254872
18.65,-0.01123829
18.7,0.004390464
18.75,0.026517257
18.800001,0.05163954
18.85,0.07453913
18.9,0.08910374
18.95,0.090379044
19.0,0.07693404
19.05,0.052077964
19.1,0.02293918
19.15,-0.002380179
19.2,-0.018182991
19.25,-0.02330211
19.3,-0.020929921
19.35,-0.016388075
19.4,-0.014217406
19.449999,-0.016189955
19.5,-0.021133171
19.55,-0.026342962
19.6,-0.0295304
19.65,-0.03014936
19.699999,-0.029500725
19.75,-0.029771062
19.8,-0.03266407
19.849998,-0.038328882
19.9,-0.045024235
19.949999,-0.04958351
20.0,-0.048503686
20.05,-0.039319087
20.099998,-0.021826819
20.15,0.001296674
20.2,0.024860308
20.25,0.04256857
20.300001,0.0490875
20.35,0.041995704
20.400002,0.022812404
20.45,-0.003366948
20.5,-0.029484224
20.550001,-0.04870465
20.6,-0.05633146
20.65,-0.05085765
20.7,-0.033980224
20.75,-0.009850414
20.800001,0.01609293
20.85,0.038370203
20.9,0.05264426
20.95,0.05667544
21.0,0.050854445
21.05,0.038076695
21.1,0.022847127
21.15,0.009829633
21.2,0.002320862
21.25,0.001270746
21.3,0.005214831
21.35,0.011104195
21.4,0.015600536
21.449999,0.016260605
21.5,0.012169755
21.55,0.003914967
21.6,-0.006911884
21.65,-0.018343806
21.699999,-0.028529912
21.75,-0.035964787
21.8,-0.039511256
21.849998,-0.038358297
21.9,-0.032052334
21.949999,-0.020679364
22.000002,-0.005142474
22.05,0.012625535
22.099998,0.029746125
22.150002,0.04291828
22.2,0.04932548
22.25,0.047631145
22.300001,0.0386021
22.35,0.025001897
22.400002,0.01069589
22.45,-0.000695167
22.5,-0.007036392
22.550001,-0.008282048
22.6,-0.006238754
22.65,-0.003655992
22.7,-0.003083152
22.75,-0.005952508
22.800001,-0.012180726
22.85,-0.020330094
22.9,-0.028192917
22.95,-0.03356004
23.0,-0.034923773
23.05,-0.031917695
23.1,-0.02536068
23.15,-0.016912468
23.2,-0.008480696
23.25,-0.001629268
23.3,0.002792342
23.35,0.00468508
23.4,0.004485704
23.449999,0.00288983
23.5,0.00067286
23.55,-0.001349832
23.6,-0.00233213
23.65,-0.001515664
23.699999,0.001493051
23.75,0.00640226
23.8,0.012084438
23.849998,0.016782122
23.9,0.018681245
23.949999,0.016659057
24.0,0.010886755
24.05,0.002986397
24.099998,-0.004381702
24.15,-0.008387575
24.2,-0.007054044
24.25,-4.4369e-05
24.300001,0.011087166
24.35,0.023292962
24.400002,0.03296695
24.45,0.037085135
24.5,0.034175437
24.550001,0.0247719
24.6,0.011217481
24.65,-0.003111654
24.7,-0.014869273
24.75,-0.021726876
24.800001,-0.022976644
24.85,-0.019581525
24.9,-0.013714222
24.95,-0.00797822
25.0,-0.004573372
25.05,-0.004654012
25.1,-0.008045893
25.15,-0.013376728
25.2,-0.018568214
25.25,-0.021538842
25.3,-0.020906547
25.35,-0.01646014
25.4,-0.009227587
25.449999,-0.001099069
25.5,0.005865982
25.55,0.010180416
25.6,0.011421607
25.65,0.010268312
25.699999,0.008084203
25.75,0.006249239
25.8,0.005554226
25.849998,0.005925297
25.9,0.006581954
25.949999,0.006518633
25.999998,0.005056444
26.05,0.002202209
26.099998,-0.001338682
26.150002,-0.004471113
26.2,-0.006175203
26.25,-0.005910043
26.300001,-0.003793926
26.35,-0.000519229
26.400002,0.00292274
26.45,0.005570884
26.5,0.006757725
26.550001,0.006247785
26.6,0.004255486
26.65,0.001380942
26.7,-0.00151787
26.75,-0.003512645
26.800001,-0.00385857
26.85,-0.00226882
26.9,0.000886466
26.95,0.004582687
27.0,0.007413822
27.05,0.008094484
27.1,0.005997396
27.15,0.001488078
27.2,-0.004136246
27.25,-0.009109937
27.3,-0.011883863
27.35,-0.011720025
27.4,-0.008932263
27.449999,-0.004672398
27.5,-0.000386744
27.55,0.002785448
27.6,0.004395937
27.65,0.004706003
27.699999,0.004388634
27.75,0.004102074
27.8,0.004155083
27.849998,0.00440609
27.9,0.004403288
27.949999,0.003663204
28.0,0.001942525
28.05,-0.000609531
28.099998,-0.003466777
28.15,-0.005887112
28.2,-0.007158536
28.25,-0.006851509
28.300001,-0.004997611
28.35,-0.002128411
28.400002,0.000860437
28.45,0.003001154
28.5,0.003612859
28.550001,0.002587713
28.6,0.000470347
28.65,-0.001732962
28.7,-0.002962161
28.75,-0.002560114
28.800001,-0.000575747
28.85,0.002236017
28.9,0.004726834
28.95,0.0058461
29.0,0.005087674
29.05,0.002695321
29.1,-0.000461171
29.15,-0.003269279
29.2,-0.004836844
29.25,-0.00482732
29.3,-0.003532653
29.35,-0.001675712
29.4,-5.1998e-05
29.449999,0.00081691
29.5,0.000868161
29.55,0.000457627
29.6,0.000134717
29.65,0.000350141
29.699999,0.001233854
29.75,0.002537344
29.8,0.003755487
29.849998,0.00436413
29.9,0.004060066
29.95,0.002898734
